# Name | Longitude | Latitude | Width | Length | Height | R | G | B
人事部|116.3025291142857|39.994336999999994|15.0|25.0|12.0|0.6|0.5|0.4
第一体育馆|116.30545826|39.993932259999994|40.0|60.0|15.0|0.7|0.5|0.4
勺园4号楼|116.29940064545454|39.989904381818185|20.0|45.0|20.0|0.6|0.6|0.5
勺园5号楼|116.29923654|39.99084054|20.0|45.0|20.0|0.6|0.6|0.5
北京大学国际关系学院|116.30061296785713|39.99048370714286|40.0|55.0|25.0|0.6|0.6|0.6
勺园6号楼|116.29983801|39.989625180000004|20.0|45.0|20.0|0.6|0.6|0.5
勺园7号楼|116.300003475|39.98915928|20.0|45.0|20.0|0.6|0.6|0.5
勺园8号楼|116.29944100555556|39.98933207777778|20.0|45.0|20.0|0.6|0.6|0.5
勺园9号楼|116.29930174615384|39.9888401923077|20.0|45.0|20.0|0.6|0.6|0.5
学五食堂|116.30086894000002|39.98767074|35.0|50.0|15.0|0.8|0.6|0.4
31楼|116.30256864285715|39.98708958571429|20.0|50.0|24.0|0.7|0.6|0.5
29楼|116.30322248333333|39.9873461|20.0|50.0|24.0|0.7|0.6|0.5
30楼|116.30325138333335|39.98684748333333|20.0|50.0|24.0|0.7|0.6|0.5
28楼|116.30405965|39.987134000000005|20.0|50.0|24.0|0.7|0.6|0.5
农园餐厅|116.30609624285715|39.98752677142857|45.0|60.0|18.0|0.8|0.6|0.4
教育学院|116.30555932|39.987729200000004|30.0|45.0|25.0|0.6|0.6|0.6
对外汉语教育学院及信息管理系（方李邦琴楼）|116.30567902142857|39.98665795714286|35.0|50.0|25.0|0.6|0.6|0.6
新闻与传播学院（蒙民伟楼）|116.30574911428572|39.98579327142857|30.0|45.0|22.0|0.6|0.6|0.6
五四体育中心|116.30621259|39.98623334|60.0|80.0|20.0|0.5|0.6|0.7
海淀体育馆|116.29768363333334|39.988439774999996|50.0|70.0|25.0|0.5|0.6|0.7
未来科技大厦|116.29848618|39.98592991333333|40.0|55.0|50.0|0.5|0.5|0.6
方正大厦|116.3104925375|39.989922379166664|45.0|60.0|55.0|0.5|0.5|0.6
