# Name | OuterRing | HoleRing1 | HoleRing2 | ...
# 每个 Ring 格式为: lon1,lat1;lon2,lat2;...;lonN,latN（不含闭合重复点）
吕志和楼|116.3066042,39.9915012;116.3066187,39.9912974;116.3066394,39.9912982;116.3066532,39.9911048;116.3066546,39.9910859;116.3066384,39.9910853;116.3066536,39.9908733;116.3074183,39.9909055;116.3074037,39.991109;116.3073879,39.9911084;116.3073723,39.9913255;116.3073962,39.9913265;116.3073815,39.9915337|116.3068404,39.9912603;116.3069852,39.9912661;116.3069996,39.9912464;116.3070576,39.991269;116.3071301,39.9912719;116.3071391,39.9911386;116.3069894,39.9911327;116.3069734,39.9911546;116.3069138,39.9911297;116.3068494,39.9911271
顾颉刚故居|116.3081425,39.9944464;116.3083307,39.9940014;116.3086103,39.9940708;116.3084219,39.9945158|116.3083298,39.9941928;116.3084622,39.9942258;116.3085002,39.9941365;116.3083678,39.9941034|116.3082482,39.9943855;116.3083791,39.9944184;116.308418,39.9943274;116.3082871,39.9942945
全斋|116.3031364,39.994962;116.3031729,39.9946936;116.3040916,39.9947671;116.3040551,39.9950353|116.3032656,39.9948761;116.3035708,39.9948986;116.3035813,39.9948153;116.303276,39.9947928|116.3036338,39.9949049;116.3039473,39.9949261;116.303957,39.9948421;116.3036435,39.9948208
教育基金会|116.3041285,39.9953271;116.3045781,39.9953762;116.3044775,39.9959169;116.304028,39.9958678|116.3042253,39.9954176;116.3041984,39.9955546;116.3044283,39.9955811;116.3044552,39.9954441|116.3041625,39.9956958;116.3041475,39.9957814;116.3043794,39.9958054;116.3043944,39.9957198
理科二号楼（逸夫苑）|116.3081903,39.9897444;116.3082186,39.9893066;116.3082904,39.9893093;116.3082954,39.9892309;116.3082968,39.9892098;116.3085293,39.9892186;116.3086275,39.9892224;116.3088331,39.9892301;116.3088325,39.9892398;116.3088293,39.9892891;116.3089181,39.9892924;116.3088862,39.9897891;116.3088099,39.9897862;116.3088067,39.9898345;116.3087067,39.9898307;116.3083255,39.9898163;116.3083298,39.9897497|116.3083331,39.9896603;116.3087128,39.9896765;116.3087306,39.9894321;116.3083509,39.9894159
邱德拔体育馆|116.3086847,39.9869223;116.3095004,39.9869517;116.309449,39.9877888;116.3090181,39.9877733;116.3086333,39.9877594;116.3086624,39.987286
遥感楼|116.3061858,39.9919369;116.3061943,39.9918015;116.3069743,39.9918339;116.3069686,39.9919635;116.3065605,39.9919507;116.3065563,39.9920206;116.3063574,39.9920136;116.3063616,39.9919434
政府管理学院（廖凯原楼）|116.30814,39.9950512;116.3083362,39.9945969;116.3084616,39.9946005;116.3084644,39.9945649;116.308441,39.994564;116.3086736,39.9940206;116.3082239,39.9938991;116.3083271,39.9938313;116.3088316,39.9939143;116.3087374,39.9950809
百周年纪念讲堂|116.3040621,39.9882529;116.304261,39.9882609;116.3042643,39.9882138;116.3044171,39.9882186;116.3044104,39.9883428;116.3046379,39.9885543;116.3047745,39.9886813;116.3049603,39.9886873;116.3049845,39.9886881;116.30497,39.9889162;116.3049573,39.9891165;116.3040054,39.989078;116.3040535,39.9883787
艺园餐厅|116.300605,39.9873148;116.3006066,39.9872043;116.3007306,39.9872053;116.3007356,39.9868518;116.3009944,39.9868539;116.3009914,39.9870623;116.3009895,39.9871978;116.3007436,39.9871958;116.3007419,39.987316
第一教学楼|116.3039768,39.9916165;116.3039912,39.9914438;116.304341,39.9914609;116.3046992,39.9914784;116.3046936,39.9915619;116.3046849,39.991651
第二体育馆|116.3018112,39.9895903;116.3018147,39.989358;116.3024039,39.9893633;116.3024004,39.9895955
北大西门|116.2985431,39.9933604;116.2985442,39.9933062;116.2985462,39.9932022;116.2985966,39.9932028;116.2986574,39.9932035;116.2986555,39.9933058;116.2986544,39.9933616;116.2985937,39.9933609
化学北楼|116.2994868,39.992995;116.2994857,39.9927804;116.3001855,39.9927782;116.3001867,39.9929928
化学南楼|116.2995007,39.9924137;116.2995073,39.9922172;116.3001898,39.9922306;116.3001831,39.9924272
校史馆|116.2999787,39.9921786;116.2999835,39.991794;116.3001731,39.9917954;116.3001682,39.99218
档案馆|116.3002973,39.9927555;116.3002987,39.9924372;116.3005221,39.9924378;116.3005208,39.9927561
38、39楼|116.3017017,39.9852992;116.3024709,39.9853242;116.3024623,39.9854797;116.302282,39.9854738;116.3022812,39.9854882;116.3023541,39.9854906;116.3023387,39.9857685;116.3022675,39.9857661;116.3022669,39.9857762;116.3024549,39.9857823;116.3024458,39.9859488;116.3017768,39.9859271;116.3017858,39.985765;116.3021206,39.9857758;116.3021374,39.9854713;116.301693,39.9854569
40、41、42楼|116.3016618,39.9857621;116.3016534,39.9859246;116.3011337,39.9859089;116.3011409,39.9857687;116.3011255,39.9857682;116.3011415,39.985456;116.3011956,39.9854576;116.3011961,39.9854464;116.3007339,39.9854327;116.3007332,39.9854463;116.3007788,39.9854476;116.3007646,39.9857354;116.3010291,39.9857431;116.3010213,39.9859014;116.3006314,39.9858901;116.3006383,39.9857495;116.300552,39.985747;116.3005672,39.9854398;116.3006824,39.9854432;116.300683,39.9854307;116.3005871,39.9854279;116.3005949,39.9852692;116.3015276,39.9852963;116.3015199,39.9854524;116.3013085,39.9854463;116.3013075,39.9854652;116.3013562,39.9854667;116.3013416,39.9857524
36、37楼|116.3034002,39.9858024;116.3033923,39.9859649;116.302608,39.9859426;116.3026123,39.9858553;116.3025947,39.9858548;116.3025988,39.9857704;116.3025833,39.98577;116.3025966,39.9854969;116.3026131,39.9854973;116.3026179,39.9853986;116.3026371,39.9853991;116.302641,39.9853181;116.3034315,39.9853405;116.3034239,39.9854987;116.3027914,39.9854808;116.3027907,39.9854948;116.302814,39.9854954;116.3027999,39.9857853
34A、34B楼|116.3035543,39.9859651;116.3035606,39.9858238;116.3040686,39.9858373;116.304067,39.9858732;116.3041426,39.9858752;116.3041436,39.9858534;116.3041097,39.9858525;116.3041113,39.9858176;116.3040625,39.9858163;116.3040728,39.9855859;116.3041487,39.9855879;116.3041501,39.9855568;116.3035732,39.9855415;116.3035803,39.985385;116.3042691,39.9854032;116.3042429,39.9859833
35楼|116.3024847,39.9865436;116.3025003,39.9861981;116.3029171,39.9862088;116.3033509,39.9862205;116.3033353,39.9865677;116.3031162,39.9865619;116.3031239,39.9863913;116.3027147,39.9863804;116.3027071,39.9865495
32楼|116.3034793,39.9865705;116.3034974,39.9862201;116.3038806,39.9862318;116.3042637,39.9862435;116.3042454,39.9865961;116.3040253,39.9865894;116.3040345,39.9864126;116.3037068,39.9864027;116.3036978,39.9865771
44楼|116.3005198,39.9865467;116.3010588,39.986562;116.3010454,39.9868398;116.3008229,39.9868334;116.300828,39.986728;116.3005115,39.986719
王克桢楼|116.3086252,39.9860273;116.3086463,39.9856661;116.3090884,39.9856813;116.3090757,39.9858981;116.3091799,39.9859016;116.3094355,39.9864054;116.3087846,39.986383;116.3088051,39.9860335
第四教学楼|116.3081747,39.9879038;116.308158,39.9881948;116.3079552,39.9881879;116.3079718,39.9878969;116.3080891,39.9879009
第三教学楼（刘卿楼）|116.3074735,39.9876419;116.30751,39.9876436;116.3080713,39.9876699;116.3081075,39.9876716;116.3080891,39.9879009;116.3079718,39.9878969;116.3074549,39.9878758
第二教学楼（李兆基楼）|116.3072537,39.9877754;116.3072291,39.9881701;116.3072178,39.9883517;116.3080386,39.9883817;116.3080238,39.9886198;116.307836,39.9886129;116.3072732,39.9885922;116.3071634,39.9885883;116.3068005,39.988575;116.3068267,39.9881546;116.3068513,39.9877606
博雅塔|116.3057627,39.9925905;116.3058144,39.9925915;116.3058529,39.9926256;116.3058518,39.9926621;116.3058136,39.9926955;116.3057532,39.992693;116.3057166,39.9926626;116.3057189,39.9926198
法学院（陈明楼）|116.3076342,39.9944011;116.3077586,39.993893;116.3078305,39.9939142;116.3080125,39.9939214;116.3078882,39.9944376
