# Name | OuterRing | HoleRing1 | HoleRing2 | ...
# 每个 Ring 格式为: lon1,lat1;lon2,lat2;...;lonN,latN（不含闭合重复点）
俄文楼|116.3024885,39.99181;116.3025006,39.9914067;116.3027471,39.991411;116.302735,39.9918144
哲学楼|116.3048798,39.9897415;116.3044842,39.9897305;116.3041452,39.989721;116.3041471,39.9896821;116.3040444,39.9896792;116.3039731,39.9896772;116.3039713,39.9897168;116.3036986,39.9897091;116.3037055,39.9895649;116.3039826,39.9895727;116.3039813,39.9895997;116.3040473,39.9896015;116.3041532,39.9896044;116.3041571,39.9895215;116.3048892,39.9895419
一院|116.3011849,39.9910038;116.301194,39.9906739;116.3016408,39.9906813;116.3016387,39.990758;116.3013254,39.9907549;116.3013225,39.9908505;116.3013202,39.9909243;116.301634,39.9909276;116.3016317,39.991011;116.3013177,39.9910059
二院|116.301198,39.9905306;116.3012071,39.990201;116.3016538,39.9902057;116.3016516,39.9902872;116.3013398,39.9902839;116.3013371,39.9903728;116.3013346,39.9904543;116.3016469,39.9904577;116.3016448,39.9905353
三院|116.3012107,39.9900705;116.30122,39.9897342;116.3013567,39.9897364;116.3016665,39.9897414;116.3016645,39.9898174;116.3013543,39.9898142;116.3013519,39.9898915;116.3013492,39.9899802;116.3016599,39.9899835;116.3016574,39.990075
四院|116.302964,39.9900749;116.3025342,39.9900679;116.3025366,39.9899818;116.3028271,39.9899866;116.3028292,39.9899128;116.3028311,39.9898464;116.3025375,39.9898415;116.3025398,39.9897584;116.3029727,39.9897655
五院|116.3025229,39.9905615;116.3025247,39.9904654;116.3028137,39.9904685;116.3028151,39.9903888;116.3028166,39.9903082;116.3025286,39.9903051;116.3025303,39.9902099;116.3029628,39.9902144;116.3029565,39.990566
六院|116.302512,39.9910275;116.302514,39.9909441;116.3027989,39.9909481;116.3028006,39.9908752;116.3028028,39.9907831;116.3025182,39.9907791;116.3025201,39.9906963;116.3029535,39.9907023;116.3029457,39.9910336
文史楼|116.3053429,39.9909673;116.3053551,39.9907907;116.3057181,39.9908054;116.3061312,39.9908222;116.306119,39.9909988;116.3057003,39.9909818
学一食堂|116.3012482,39.9863283;116.3012575,39.9861601;116.3017047,39.9861746;116.3021438,39.9861888;116.3021395,39.9862683;116.3021346,39.9863571
松林餐厅|116.3018799,39.9863958;116.302143,39.9864067;116.3021368,39.986494;116.3021324,39.9865571;116.3018693,39.9865462
餐饮综合楼（家园食堂）|116.3013023,39.9873798;116.301332,39.9866439;116.3017117,39.986653;116.3021088,39.9866624;116.3021876,39.9866643;116.3021744,39.9869881;116.302166,39.9871949;116.3021577,39.9874001;116.3013641,39.9873827
43楼|116.3004615,39.9863273;116.3004724,39.9860659;116.3010426,39.9860799;116.3010316,39.9863413
理科教学楼（黄廷方楼）|116.3066893,39.990571;116.3066999,39.9903887;116.3067235,39.9903895;116.306726,39.9903471;116.3067278,39.9903163;116.3067053,39.9903155;116.3067328,39.9899306;116.3069829,39.9899405;116.3073902,39.9899569;116.307389,39.989976;116.3075271,39.9899807;116.3075063,39.9903394;116.3074831,39.9903386;116.3074808,39.9903787;116.3074785,39.9904182;116.3074995,39.9904189;116.307489,39.9905984
英杰交流中心|116.307522,39.9892682;116.3077395,39.9892774;116.3080421,39.9892903;116.3080366,39.9893659;116.3080997,39.9893686;116.3080829,39.9896232;116.3077534,39.9896074;116.3075036,39.9895968;116.3075191,39.9893817;116.3074643,39.9893794;116.3074676,39.9893341;116.307517,39.9893362
地学楼|116.3053681,39.9905018;116.3053798,39.9903394;116.3057428,39.9903547;116.306116,39.9903705;116.3061043,39.9905329;116.3057381,39.9905174
老化学楼|116.3052225,39.9901449;116.3052413,39.9898243;116.3063035,39.989851;116.306282,39.9901778;116.3060916,39.9901737;116.3060969,39.9900586;116.3057676,39.9900473;116.3054398,39.990036;116.3054318,39.9901531
电化教学楼（智华楼）|116.3054094,39.9888567;116.3054157,39.9887562;116.3055325,39.9887605;116.305537,39.9886897;116.305522,39.9886891;116.3055397,39.9884329;116.3055544,39.9884335;116.3055606,39.9883471;116.3054396,39.988342;116.3054476,39.9882312;116.3056138,39.9882383;116.3056149,39.988223;116.3061801,39.9882472;116.3061785,39.988269;116.3063447,39.988276;116.3063365,39.9883907;116.3061612,39.9883834;116.30616,39.9884007;116.3060487,39.9883962;116.3060499,39.9883789;116.3056528,39.9883638;116.3056497,39.9884135;116.3056726,39.9884143;116.3056698,39.988462;116.3058827,39.9884693;116.3058834,39.9884559;116.3061823,39.9884651;116.3061684,39.9887314;116.3059466,39.9887246;116.3059474,39.988708;116.3058651,39.9887056;116.305866,39.9886885;116.3056231,39.9886812;116.3056196,39.9887489;116.3061031,39.9887635;116.3061017,39.9887899;116.3062686,39.9887952;116.3062638,39.9888836;116.3060859,39.988878;116.3060847,39.9889001;116.3055841,39.9888831;116.3055853,39.9888631
老生物楼|116.3051429,39.9910961;116.3053593,39.9911026;116.3053523,39.9912413;116.305685,39.9912512;116.3059866,39.9912602;116.3059933,39.9911275;116.3062293,39.9911345;116.3062137,39.9914401;116.305127,39.9914075
体斋|116.303109,39.9943996;116.3031251,39.9942558;116.3033074,39.9942681;116.3032914,39.9944078
勺园食堂|116.2995567,39.9906202;116.2992555,39.9906098;116.2992815,39.9901677;116.2995856,39.9901783;116.2995814,39.9902491;116.2996154,39.9902503;116.2996428,39.9902513;116.299625,39.9905549;116.2995913,39.9905537;116.2995607,39.9905527
佟园餐厅（清真）|116.3005306,39.9898047;116.3005361,39.9897028;116.3009188,39.9897028;116.3009188,39.989809
勺园1号楼|116.2996505,39.9901269;116.2996561,39.9900143;116.3002411,39.9900312;116.3002355,39.9901439;116.2998604,39.990133;116.2997285,39.9901292
勺园3号楼|116.299618,39.9907985;116.2996266,39.9906897;116.2996934,39.9906928;116.2998244,39.9906988;116.3001926,39.9907159;116.3001841,39.9908247
勺园2号楼|116.2996934,39.9906928;116.2996962,39.9906482;116.299679,39.9906475;116.2997085,39.9901755;116.2997255,39.9901761;116.2997285,39.9901292;116.2998604,39.990133;116.2998575,39.9901784;116.2998833,39.9901793;116.2998735,39.9903368;116.2998894,39.9903374;116.2998796,39.9904962;116.2998626,39.9904956;116.2998529,39.9906525;116.2998274,39.9906516;116.2998244,39.9906988
新太阳学生中心（16楼-18楼）|116.3044659,39.9879193;116.3044703,39.9878586;116.3044127,39.9878561;116.3044515,39.9873261;116.3045163,39.9873289;116.3045725,39.9873313;116.3045757,39.9872883;116.3049588,39.9873048;116.3051693,39.9873138;116.3051599,39.9874416;116.3050563,39.9874371;116.3049327,39.9874318;116.3049205,39.9875975;116.304918,39.9876322;116.3049111,39.9877263;116.3049052,39.9878062;116.305134,39.9878161;116.3051243,39.9879478;116.3045166,39.9879215
燕南食堂|116.3039329,39.9893167;116.303949,39.9891153;116.3043085,39.9891214;116.3042987,39.9892686;116.304295,39.9893249;116.3040563,39.9893195
伟利楼|116.3042138,39.992307;116.3042249,39.9921779;116.3045275,39.9921931;116.3045164,39.9923223
健斋|116.3031314,39.9945307;116.3031415,39.9944538;116.303631,39.9944913;116.3036209,39.9945682
阿卜杜勒·阿齐兹国王公共图书馆北京大学分馆（古籍图书馆）|116.3030391,39.9916258;116.3030505,39.9914033;116.3033687,39.9914128;116.3037203,39.9914234;116.3037089,39.9916459
生物标本馆|116.3052184,39.991701;116.3052325,39.9914732;116.3053845,39.9914787;116.3053786,39.9915734;116.306009,39.9915963;116.3060008,39.9917294
方楼|116.3062558,39.9923622;116.3062591,39.9922311;116.3063963,39.9922331;116.306393,39.9923643
保护生物学楼|116.2996416,39.995827;116.2996389,39.9956949;116.3000702,39.9956898;116.3000729,39.9958219
保护生物学新楼|116.2997626,39.9956683;116.2997618,39.9955414;116.2996722,39.9955417;116.2996715,39.9954223;116.3000082,39.9954212;116.3000093,39.9956104;116.2999602,39.9956106;116.2999606,39.9956676
生物技术楼|116.2994862,39.9953183;116.2994893,39.9951389;116.3000315,39.9951365;116.3000346,39.9953277;116.2997719,39.9953232
燕园大厦|116.3085594,39.9864157;116.3086975,39.98642;116.3093748,39.9864413;116.3093677,39.9865753;116.3093604,39.9867114;116.308545,39.9866858
经济学院（孝义金晖楼）|116.3065866,39.9960253;116.3066069,39.9959027;116.3067094,39.9959139;116.3067203,39.995851;116.3066209,39.9958406;116.3066411,39.9957267;116.3067427,39.9957373;116.3067537,39.9956769;116.3066466,39.9956666;116.3066661,39.9955453;116.3067729,39.9955547;116.3067982,39.995427;116.3067556,39.9954185;116.3067077,39.9953939;116.3066777,39.9953527;116.3066688,39.9953043;116.3066828,39.9952635;116.3067213,39.9952261;116.3067782,39.9952014;116.3068354,39.9952004;116.3068484,39.9951077;116.3071094,39.9951379;116.3069643,39.9954372;116.3069389,39.9955815;116.3069273,39.9955803;116.3068473,39.9960488
综合科研2号楼|116.3004834,39.9882528;116.3010486,39.9882697;116.3010649,39.9879493;116.3010944,39.9879502;116.3010981,39.9878775;116.3013583,39.9878853;116.3013555,39.9879402;116.30137,39.9879406;116.3013538,39.9882598;116.3013092,39.9882585;116.3013072,39.9882969;116.3013502,39.9882982;116.3013404,39.9884902;116.3004726,39.9884642
核磁中心|116.3014618,39.9886429;116.3014682,39.9885468;116.3015512,39.98855;116.3015635,39.988364;116.3014809,39.9883608;116.3014863,39.9882793;116.3017355,39.988289;116.3017113,39.9886526
51号楼|116.3025174,39.9891131;116.3025208,39.9889263;116.3027475,39.9889287;116.3027441,39.9891155
52号楼|116.3028853,39.9890827;116.3028855,39.9890271;116.3029353,39.9890273;116.3029357,39.9889162;116.3031177,39.9889167;116.3031173,39.989027;116.3030241,39.9890268;116.3030239,39.989083
60号楼|116.302991,39.9885452;116.3029911,39.9884356;116.3031293,39.9884357;116.3031292,39.9885453
59号楼|116.3029751,39.9882511;116.3029754,39.9882041;116.3030654,39.9882045;116.3030658,39.9881575;116.3029755,39.9881571;116.3029767,39.9880123;116.3030497,39.9880126;116.3030491,39.9880922;116.3031599,39.9880928;116.3031592,39.9881707;116.3031105,39.9881705;116.3031102,39.9881989;116.303166,39.9881992;116.3031655,39.988252
53号楼|116.3034915,39.9890681;116.3034887,39.9889884;116.3036383,39.9889852;116.3036412,39.9890654;116.3036852,39.9890644;116.303687,39.9891156;116.3035924,39.9891176;116.3035905,39.989066
54号楼|116.3033233,39.9888472;116.3033257,39.9887057;116.303384,39.9887063;116.3033858,39.9886029;116.3035504,39.9886045;116.3035492,39.9886728;116.3036155,39.9886735;116.3036136,39.9887857;116.3034016,39.9887836;116.3034005,39.9888479
56号楼|116.3033256,39.9884288;116.3033262,39.9882427;116.3034152,39.9882429;116.3034149,39.9883123;116.3034769,39.9883124;116.3035029,39.9883125;116.303503,39.9882843;116.303561,39.9882845;116.3035605,39.9884293
62号楼|116.3025203,39.9881482;116.302522,39.9879554;116.3026645,39.9879562;116.3026627,39.988149
61号楼|116.3021115,39.9881949;116.3021113,39.9879585;116.3023096,39.9879584;116.3023096,39.9880313;116.3022081,39.9880313;116.3022081,39.9881056;116.3022929,39.9881056;116.3022929,39.9881948
50号楼|116.3018041,39.9889447;116.3018974,39.9889456;116.3018982,39.9888895;116.301988,39.9888903;116.3019858,39.9890375;116.3017265,39.9890351;116.301727,39.9890002;116.3016901,39.9889998;116.3016918,39.9888928;116.3018049,39.9888938
朗润园12号楼|116.3053603,39.9981231;116.3053887,39.998013;116.3057995,39.9980752;116.3057711,39.9981853
朗润园11号楼|116.3054019,39.9977759;116.305423,39.9976648;116.3058374,39.9977109;116.3058164,39.997822
朗润园10号楼|116.3054566,39.9974783;116.3054777,39.9973672;116.3058921,39.9974133;116.305871,39.9975244
朗润园9号楼|116.3055142,39.9971609;116.3055352,39.9970498;116.3059496,39.9970958;116.3059286,39.997207
朗润园8号楼|116.305566,39.9968544;116.305587,39.9967433;116.3060014,39.9967894;116.3059804,39.9969005
朗润园13号楼|116.3034069,39.9976765;116.3034353,39.9975664;116.3038462,39.9976285;116.3038178,39.9977387
科维理天文与天体物理研究所|116.3042219,39.9979059;116.3042759,39.9977512;116.3048391,39.9978666;116.3048263,39.997903;116.3049438,39.997927;116.304955,39.997895;116.3051832,39.9979417;116.3051307,39.998092
哲学系（宗教学系）|116.3059755,39.9953383;116.3059936,39.9952523;116.3060197,39.9950798;116.3062671,39.9951046;116.3062229,39.9953631
中国语言文学系|116.3058053,39.9962719;116.3058188,39.9961794;116.3058427,39.9960152;116.3060791,39.9960354;116.3060417,39.9962921
历史学系|116.3050513,39.9963688;116.3050746,39.9962441;116.3049929,39.9962351;116.3050439,39.9959618;116.3049929,39.9959563;116.3050163,39.9958309;116.3053909,39.9958719;116.305368,39.9959944;116.3052849,39.9959853;116.3052529,39.9961571;116.3052373,39.9962405;116.3052035,39.9962368;116.3051993,39.9962591;116.3053692,39.9962778;116.3053461,39.9964011
李兆基人文学苑|116.3052087,39.9957849;116.3052259,39.9956953;116.3054479,39.9957204;116.3054555,39.9956807;116.3056778,39.9957059;116.3056699,39.9957466;116.3057731,39.9957583;116.3057611,39.9958206;116.3056724,39.9958105;116.3056685,39.9958306;116.305421,39.9958026;116.3054233,39.9957905;116.3053527,39.9957825;116.3053492,39.9958008
李兆基人文学苑|116.3051612,39.9956578;116.3051828,39.9955397;116.3052645,39.9955485;116.305278,39.9954746;116.3054731,39.9954955;116.3054818,39.9954475;116.3057064,39.9954716;116.3056979,39.995518;116.3058207,39.9955311;116.3057883,39.9957088;116.305669,39.995696;116.3056851,39.9956076;116.3054653,39.9955841;116.305448,39.9956785;116.3053305,39.995666;116.3053488,39.9955658;116.3052861,39.9955591;116.305266,39.995669
李兆基人文学苑|116.3053737,39.9954611;116.3053902,39.9953683;116.3054378,39.9953733;116.3054503,39.9953031;116.3055316,39.9953116;116.3055347,39.9952945;116.3055896,39.9953002;116.3057021,39.995312;116.3056987,39.9953311;116.3057806,39.9953396;116.305769,39.9954051;116.3056934,39.9953972;116.30569,39.9954161;116.3055265,39.995399;116.3055298,39.9953806;116.3054527,39.9953725;116.3054357,39.9954676
46楼|116.2994188,39.9875602;116.299427,39.9874075;116.2995723,39.9874121;116.2995761,39.9873415;116.3002907,39.987364;116.3002844,39.987483;116.2995732,39.9874607;116.2995676,39.9875648
47楼|116.2995173,39.9871272;116.2995285,39.9869739;116.2996757,39.9869801;116.2996808,39.9869107;116.3003147,39.9869377;116.300306,39.987058;116.2996796,39.9870313;116.2996722,39.9871338
48楼|116.2995528,39.9867592;116.2995624,39.9866055;116.2997086,39.9866109;116.299713,39.9865408;116.3003327,39.9865636;116.3003251,39.9866841;116.2997119,39.9866614;116.2997054,39.9867648
中水站|116.2985777,39.9951708;116.2985744,39.9950577;116.2986403,39.9950565;116.2986397,39.9950372;116.2986985,39.9950362;116.298703,39.9951869;116.2986393,39.995188;116.2986388,39.9951698;116.2986103,39.9951703
考古文博学院|116.3001842,39.9954642;116.3001839,39.9952943;116.3002915,39.9952942;116.3003681,39.9952941;116.3005546,39.9952939;116.3005549,39.9954719;116.3004855,39.995472;116.300486,39.995727;116.3002573,39.9957272;116.3002569,39.9954641
实验动物中心B座|116.3006111,39.9959295;116.3006661,39.9959704;116.3006679,39.9960744;116.3004656,39.9960827;116.3002009,39.9960901;116.3001956,39.995979;116.3004277,39.995969;116.3004289,39.9959533;116.3004633,39.9959295;116.3005131,39.9959137;116.300563,39.9959124
外国语学院|116.3063211,39.9969238;116.30643,39.99624;116.3068072,39.9962753;116.3066972,39.996966;116.3066423,39.9969609;116.3066352,39.9970054;116.3064065,39.996984;116.3064147,39.9969326
校景亭|116.3004813,39.9950191;116.3004785,39.9949351;116.3005784,39.9949331;116.3005812,39.9950172
实验动物中心A座|116.2994212,39.9958933;116.299796,39.9958812;116.2997956,39.9959442;116.3001416,39.9959453;116.3001412,39.9960218;116.2995767,39.9960247;116.2994263,39.9960029
李兆基人文学苑|116.3053107,39.9950495;116.3054674,39.9950632;116.3054555,39.9951432;116.3054394,39.9952509;116.3052826,39.9952372
北大-港理工中国社会工作研究中心（恩善苑）|116.3012778,39.996122;116.3016768,39.996157;116.3016322,39.9964552;116.3014959,39.9964432;116.3015072,39.9963677;116.3014242,39.9963604;116.3014336,39.9962975;116.3015361,39.9963065;116.3015444,39.9962513;116.3012622,39.9962266
章桂堂|116.3045555,39.9923881;116.3045665,39.9922041;116.3047262,39.9922098;116.3047152,39.9923938
亨利楼|116.30492,39.9922897;116.3049223,39.9922254;116.3051286,39.9922292;116.3051263,39.9922935
